code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1.01.01.01.01,Cash - Head Office,asset,cash_bank,debit,0,cash_bank,,asset_cash,,,account_template_101010101,
1.01.01.01.02,Cash - Branches,asset,cash_bank,debit,0,cash_bank,,asset_cash,,,account_template_101010102,
1.01.01.02.01,Banks Account Movement - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101010201,
1.01.01.02.02,Banks Account Movement - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101010202,
1.01.01.04.01,Cash in Transit,asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_101010401,
1.01.01.04.02,Cash in Transit (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,account_template_101010402,
1.01.01.05.01,Securities for Trading - Measured to Fair Value By Result (VJPR) - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101010501,
1.01.01.05.02,Securities Available for Sale - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101010502,
1.01.01.05.03,Held-to-Maturity Securities - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101010503,
1.01.01.05.10,Debentures issued by Related Parties - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101010510,
1.01.01.05.11,Debentures Issued by Non-Related Parties - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101010511,
1.01.01.05.15,Other Loans and Receivables - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101010515,
1.01.01.05.50,(-) Interest to be Appropriated Arising from Adjustment to Present Value (AVP) - Securities - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101010550,
1.01.01.05.55,(-) Losses by Recuperable Value (Impairment)- Securities - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101010555,
1.01.01.05.70,Subaccount - Fair Value Adjustment - Securities – No Hedge - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101010570,
1.01.01.05.90,Subaccount – Initial Adoption - Securities – No Hedge - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101010590,
1.01.01.06.01,Derivatives - Hedge Fair Value - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101010601,
1.01.01.06.02,Derivatives - Cash Flow Hedge - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101010602,
1.01.01.06.03,Derivatives - Hedge Foreign Investment - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101010603,
1.01.01.06.70,Subaccount - Fair Value Adjustment - Securities – Hedge - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101010670,
1.01.01.06.90,Subaccount – Initial Adoption - Securities – Hedge - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101010690,
1.01.01.09.01,Securities for Trading - Measured to Fair Value by Result (VJPR) - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101010901,
1.01.01.09.02,Securities Available for Sale - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101010902,
1.01.01.09.03,Held-to-Maturity Securities - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101010903,
1.01.01.09.10,Debentures issued by Related Parties - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101010910,
1.01.01.09.11,Debentures issued by Non-Related Parties - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101010911,
1.01.01.09.15,Other Loans and Receivables - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101010915,
1.01.01.09.50,(-) Interest to be Appropriated Arising from Adjustment to Present Value (AVP) - Securities - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101010950,
1.01.01.09.55,(-) Losses by Recuperable Value (Impairment)- Securities - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101010955,
1.01.01.09.70,Subaccount - Fair Value Adjustment - No Hedge - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101010970,
1.01.01.09.90,Subaccount – Initial Adoption - Securities – No Hedge - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101010990,
1.01.01.10.01,Derivatives - Hedge Fair Value - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101011001,
1.01.01.10.02,Derivatives - Cash Flow Hedge - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101011002,
1.01.01.10.03,Derivatives - Hedge Foreign Investment - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101011003,
1.01.01.10.70,Subaccount - Fair Value Adjustment - Securities – Hedge - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101011070,
1.01.01.10.90,Subaccount – Initial Adoption - Securities – Hedge - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101011090,
1.01.01.40.01,Resources Abroad Resulting from Exports,asset,current_asset,debit,0,,,asset_current,,,account_template_101014001,
1.01.01.99.01,Other Bank and Cash accounts,asset,current_asset,debit,0,,,asset_current,,,account_template_101019901,
1.01.02.01.01,Advances to Suppliers - in the Country – Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101020101,
1.01.02.01.02,Advances to Suppliers - Abroad – Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101020102,
1.01.02.01.03,Advances to Employees – Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101020103,
1.01.02.01.04,Advances to Third Parties – Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101020104,
1.01.02.01.98,Other Advances – Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101020198,
1.01.02.02.01,Trade Bills Receivable – Operations with Non-related Parties - in the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101020201,
1.01.02.02.02,Trade Bills Receivable - Transactions with Non-Related Parties - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101020202,
1.01.02.02.03,Trade Bills Receivable - Operations with Related Parties - in the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101020203,
1.01.02.02.04,Trade Bills Receivable - Operations with Related Parties - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101020204,
1.01.02.02.50,(-) Interest to be Appropriated Arising from Adjustment to Present Value (AVP) – Bills Receivable,asset,current_asset,debit,0,,,asset_current,,,account_template_101020250,
1.01.02.02.52,(-) Estimated Losses in Debt Settlement Credits - Bills Receivable,asset,current_asset,debit,0,,,asset_current,,,account_template_101020252,
1.01.02.02.55,(-) Recuperable Value (Impairment) - Bills Receivable,asset,current_asset,debit,0,,,asset_current,,,account_template_101020255,
1.01.02.02.90,Subaccount – Initial Adoption - Trade Bills Receivable,asset,current_asset,debit,0,,,asset_current,,,account_template_101020290,
1.01.02.03.01,IPI to Recover,asset,current_asset,debit,0,,,asset_current,,,account_template_101020301,
1.01.02.03.02,ICMS to Recover,asset,current_asset,debit,0,,,asset_current,,,account_template_101020302,
1.01.02.03.03,PIS to Recover - Basic Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020303,
1.01.02.03.04,PIS to Recover - Presumed Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020304,
1.01.02.03.05,COFINS to Recover - Basic Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020305,
1.01.02.03.06,COFINS to Recover - Presumed Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020306,
1.01.02.03.07,CIDE to Recover,asset,current_asset,debit,0,,,asset_current,,,account_template_101020307,
1.01.02.03.08,IS to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020308,
1.01.02.03.09,IS Specific to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020309,
1.01.02.03.10,CBS to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020310,
1.01.02.03.11,IBS to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020311,
1.01.02.03.12,IBS UF to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020312,
1.01.02.03.13,IBS Mun. to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020313,
1.01.02.03.14,CBS Presumed to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020314,
1.01.02.03.15,IBS Presumed to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020315,
1.01.02.03.16,CBS Presumed credit under suspensive condition to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020316,
1.01.02.03.17,IBS Presumed credit under suspensive condition to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020317,
1.01.02.03.18,CBS Regular to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020318,
1.01.02.03.19,IBS UF Regular to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020319,
1.01.02.03.20,IBS Mun Regular to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020320,
1.01.02.03.21,CBS Deferred to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020321,
1.01.02.03.22,IBS Diferido to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020322,
1.01.02.03.23,IBS UF Deferred to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020323,
1.01.02.03.24,IBS Deferred Mun to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020324,
1.01.02.03.25,CBS Subject to retention to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020325,
1.01.02.03.26,CBS Previously Retained to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020326,
1.01.02.03.27,IBS Subject to withholding to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020327,
1.01.02.03.28,IBS Previously Retained to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020328,
1.01.02.03.29,CBS Returned (Cashback) to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020329,
1.01.02.03.30,IBS State Returned (Cashback) to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020330,
1.01.02.03.31,IBS Mun Returned (Cashback) to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020331,
1.01.02.03.32,CBS Government Compensation to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020332,
1.01.02.03.33,IBS UF Government Compensation to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020333,
1.01.02.03.34,IBS Municipal Government Compensation to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020334,
1.01.02.03.35,IBS Presumed Credit in ZFM to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020335,
1.01.02.03.36,CBS Transferred Credit to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020336,
1.01.02.03.37,IBS Transferred Credit to Recover - Credit,asset,current_asset,debit,0,,,asset_current,,,account_template_101020337,
1.01.02.03.40,Other Taxes and Contributions to Recover,asset,current_asset,debit,0,,,asset_current,,,account_template_101020340,
1.01.02.03.50,(-) Interest to be Appropriated Arising from Adjustment to Present Value (AVP) - Taxes to recover,asset,current_asset,debit,0,,,asset_current,,,account_template_101020350,
1.01.02.03.55,(-) Recuperable Value Reduction Loss (Impairment) - Tributes to Recover,asset,current_asset,debit,0,,,asset_current,,,account_template_101020355,
1.01.02.04.01,Withholding Income Tax (IRRF),asset,current_asset,debit,0,,,asset_current,,,account_template_101020401,
1.01.02.04.02,IRPJ Collected by Estimate,asset,current_asset,debit,0,,,asset_current,,,account_template_101020402,
1.01.02.04.03,IRPJ Negative Balance,asset,current_asset,debit,0,,,asset_current,,,account_template_101020403,
1.01.02.04.04,CSLL Retained in Source,asset,current_asset,debit,0,,,asset_current,,,account_template_101020404,
1.01.02.04.05,CSLL Received by Estimate,asset,current_asset,debit,0,,,asset_current,,,account_template_101020405,
1.01.02.04.06,CSLL Negative Balance,asset,current_asset,debit,0,,,asset_current,,,account_template_101020406,
1.01.02.04.07,PIS/PASEP Withheld at Source,asset,current_asset,debit,0,,,asset_current,,,account_template_101020407,
1.01.02.04.08,PIS/PASEP to Compensate,asset,current_asset,debit,0,,,asset_current,,,account_template_101020408,
1.01.02.04.09,COFINS Retained in Source,asset,current_asset,debit,0,,,asset_current,,,account_template_101020409,
1.01.02.04.10,COFINS to Compensate,asset,current_asset,debit,0,,,asset_current,,,account_template_101020410,
1.01.02.04.11,IPI to Compensate,asset,current_asset,debit,0,,,asset_current,,,account_template_101020411,
1.01.02.04.12,IOF Compensation,asset,current_asset,debit,0,,,asset_current,,,account_template_101020412,
1.01.02.04.13,Import Tax Compensation,asset,current_asset,debit,0,,,asset_current,,,account_template_101020413,
1.01.02.04.14,Export Tax to Compensate,asset,current_asset,debit,0,,,asset_current,,,account_template_101020414,
1.01.02.04.15,ITR Compensation,asset,current_asset,debit,0,,,asset_current,,,account_template_101020415,
1.01.02.04.16,CIDE to Compensate,asset,current_asset,debit,0,,,asset_current,,,account_template_101020416,
1.01.02.04.17,Social Security Contribution Withheld on Provision of Services,asset,current_asset,debit,0,,,asset_current,,,account_template_101020417,
1.01.02.04.18,Social Security Contribution to be Offset,asset,current_asset,debit,0,,,asset_current,,,account_template_101020418,
1.01.02.04.40,Other Taxes to Compensate,asset,current_asset,debit,0,,,asset_current,,,account_template_101020440,
1.01.02.04.50,( - ) Interest to be Appropriated Arising from Adjustment to Present Value (AVP) - Taxes to be Offset,asset,current_asset,debit,0,,,asset_current,,,account_template_101020450,
1.01.02.04.55,( - ) Losses due to Reduction to Refundable Value (Impairment)- Taxes to be Compensated,asset,current_asset,debit,0,,,asset_current,,,account_template_101020455,
1.01.02.09.01,Mutual Loans with Non-Related Parties – Current - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101020901,
1.01.02.09.02,Mutual Loans with Non-Related Parties – Current - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101020902,
1.01.02.09.03,Dividends Receivable - Current - In the Country,asset,current_asset,debit,0,,,asset_current,,,account_template_101020903,
1.01.02.09.04,Dividends Receivable - Current - Abroad,asset,current_asset,debit,0,,,asset_current,,,account_template_101020904,
1.01.02.09.05,Interest on Shareholders' Equity Receivable - Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101020905,
1.01.02.09.06,Advance for Future Capital Increase – Asset - Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101020906,
1.01.02.09.07,Other Interests Receivable - Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101020907,
1.01.02.09.09,Contingent consideration assets - Business Combination - Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101020909,
1.01.02.09.10,More Credits to Receive - Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101020910,
1.01.02.09.11,Deposits in Litigation - Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101020911,
1.01.02.09.12,Other Credits in Litigation - Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101020912,
1.01.02.09.20,Assigned Creditor Rights,asset,current_asset,debit,0,,,asset_current,,,account_template_101020920,
1.01.02.09.21,(-) Negative goodwill on transfer of securities,asset,current_asset,debit,0,,,asset_current,,,account_template_101020921,
1.01.02.09.25,Creditor Rights Receivable,asset,current_asset,debit,0,,,asset_current,,,account_template_101020925,
1.01.02.09.50,(-) Interest to be Appropriated Arising from Adjustment to Present Value (AVP) – Other Credits - Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101020950,
1.01.02.09.55,(-) Refundable Value Losses (Impairment) - Other Credits - Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101020955,
1.01.02.09.60,CPC 47 - Contract Targets - Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101020960,
1.01.02.09.70,Subaccount - Fair Value Adjustment – Other Credits - Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101020970,
1.01.03.01.01,Goods for Resale,asset,current_asset,debit,0,,,asset_current,,,account_template_101030101,
1.01.03.01.55,(-) Loss due to Adjustment to the Net Realizable Value - Stock Goods,asset,current_asset,debit,0,,,asset_current,,,account_template_101030155,
1.01.03.01.70,Subaccount - Fair Value Adjustment - Stock Goods,asset,current_asset,debit,0,,,asset_current,,,account_template_101030170,
1.01.03.01.75,( - ) Subaccount - Adjustment to Present Value (AVP) - Stock Goods,asset,current_asset,debit,0,,,asset_current,,,account_template_101030175,
1.01.03.01.90,Subaccount – Initial Adoption - Stocks of Goods,asset,current_asset,debit,0,,,asset_current,,,account_template_101030190,
1.01.03.02.01,Supplies (direct materials),asset,current_asset,debit,0,,,asset_current,,,account_template_101030201,
1.01.03.02.02,Other Materials,asset,current_asset,debit,0,,,asset_current,,,account_template_101030202,
1.01.03.02.03,Products for Construction,asset,current_asset,debit,0,,,asset_current,,,account_template_101030203,
1.01.03.02.04,Finished Products,asset,current_asset,debit,0,,,asset_current,,,account_template_101030204,
1.01.03.02.55,(-) Loss due to Adjustment to the Net Realizable Value - Stock Products,asset,current_asset,debit,0,,,asset_current,,,account_template_101030255,
1.01.03.02.70,Subaccount - Fair Value Adjustment - Stock Products,asset,current_asset,debit,0,,,asset_current,,,account_template_101030270,
1.01.03.02.75,( - ) Subaccount - Adjustment to Present Value (AVP) - Stock of Products,asset,current_asset,debit,0,,,asset_current,,,account_template_101030275,
1.01.03.02.90,Subaccount – Initial Adoption - Product Stocks,asset,current_asset,debit,0,,,asset_current,,,account_template_101030290,
1.01.03.03.01,Lands - Real Estate Activity,asset,current_asset,debit,0,,,asset_current,,,account_template_101030301,
1.01.03.03.02,Real Estate Acquired for Resale - Real Estate Activity,asset,current_asset,debit,0,,,asset_current,,,account_template_101030302,
1.01.03.03.03,Work in Progress - Real Estate Activity,asset,current_asset,debit,0,,,asset_current,,,account_template_101030303,
1.01.03.03.04,Real Estate for Sale - Real Estate Activity,asset,current_asset,debit,0,,,asset_current,,,account_template_101030304,
1.01.03.03.05,Constructions in Progress in Real Estate For sale,asset,current_asset,debit,0,,,asset_current,,,account_template_101030305,
1.01.03.03.06,Construction Materials - Real Estate Activity,asset,current_asset,debit,0,,,asset_current,,,account_template_101030306,
1.01.03.03.55,(-) Loss due to Adjustment to the Net Realizable Value - Stock Real Estate Activity,asset,current_asset,debit,0,,,asset_current,,,account_template_101030355,
1.01.03.03.75,( - ) Subaccount - Adjustment to Present Value (AVP) - Stock Real Estate Activity,asset,current_asset,debit,0,,,asset_current,,,account_template_101030375,
1.01.03.03.90,Subaccount – Initial Adoption - Stocks – Real Estate Activity,asset,current_asset,debit,0,,,asset_current,,,account_template_101030390,
1.01.03.04.01,Supplies (direct materials) - Long Maturity Stock,asset,current_asset,debit,0,,,asset_current,,,account_template_101030401,
1.01.03.04.02,Other Materials - Stock Long Maturation,asset,current_asset,debit,0,,,asset_current,,,account_template_101030402,
1.01.03.04.03,Work in Progress - Long Maturation Stock,asset,current_asset,debit,0,,,asset_current,,,account_template_101030403,
1.01.03.04.04,Finished Products - Long Maturation Stock,asset,current_asset,debit,0,,,asset_current,,,account_template_101030404,
1.01.03.04.05,Supplies (direct materials) - Long Maturity Stock variation,expense,expense,debit,0,,,expense,,,account_template_101030405,
1.01.03.04.55,(-) Loss due to Adjustment to the Net Realizable Value - Stock Long Maturation,asset,current_asset,debit,0,,,asset_current,,,account_template_101030455,
1.01.03.04.70,Subaccount - Fair Value Adjustment - Stock Long Maturation,asset,current_asset,debit,0,,,asset_current,,,account_template_101030470,
1.01.03.04.75,( - ) Subaccount - Adjustment to Present Value (AVP) - Stock Long Maturation,asset,current_asset,debit,0,,,asset_current,,,account_template_101030475,
1.01.03.04.90,Subaccount – Initial Adoption - Stocks – Long Maturation,asset,current_asset,debit,0,,,asset_current,,,account_template_101030490,
1.01.03.05.01,Agricultural Products of Animal Origin,asset,current_asset,debit,0,,,asset_current,,,account_template_101030501,
1.01.03.05.02,Agricultural Products of Plant Origin,asset,current_asset,debit,0,,,asset_current,,,account_template_101030502,
1.01.03.05.03,Agricultural Supplies,asset,current_asset,debit,0,,,asset_current,,,account_template_101030503,
1.01.03.05.04,Other Materials - Rural Activity,asset,current_asset,debit,0,,,asset_current,,,account_template_101030504,
1.01.03.05.55,(-) Loss due to Adjustment to Net Realisable Value - Inventory Rural Activity,asset,current_asset,debit,0,,,asset_current,,,account_template_101030555,
1.01.03.05.70,Subaccount - Fair Value Adjustment - Stock Rural Activity,asset,current_asset,debit,0,,,asset_current,,,account_template_101030570,
1.01.03.05.75,( - ) Subaccount - Adjustment to Present Value (AVP) - Stock Rural Activity,asset,current_asset,debit,0,,,asset_current,,,account_template_101030575,
1.01.03.05.90,Subaccount – Initial Adoption - Stocks – Rural Activity,asset,current_asset,debit,0,,,asset_current,,,account_template_101030590,
1.01.03.06.01,Materials Applied in Service Production,asset,current_asset,debit,0,,,asset_current,,,account_template_101030601,
1.01.03.06.02,Services in Construction,asset,current_asset,debit,0,,,asset_current,,,account_template_101030602,
1.01.03.06.03,Finished Services,asset,current_asset,debit,0,,,asset_current,,,account_template_101030603,
1.01.03.06.55,(-) Loss due to Adjustment to the Net Realizable Value - Stock Services,asset,current_asset,debit,0,,,asset_current,,,account_template_101030655,
1.01.03.06.70,Subaccount - Fair Value Adjustment - Stock Services,asset,current_asset,debit,0,,,asset_current,,,account_template_101030670,
1.01.03.06.75,( - ) Subaccount - Adjustment to Present Value (AVP) - Stock Services,asset,current_asset,debit,0,,,asset_current,,,account_template_101030675,
1.01.03.06.90,Subaccount – Initial Adoption - Stock Services,asset,current_asset,debit,0,,,asset_current,,,account_template_101030690,
1.01.03.07.01,Material in Storeroom,asset,current_asset,debit,0,,,asset_current,,,account_template_101030701,
1.01.03.07.02,Material Intended for Destruction,asset,current_asset,debit,0,,,asset_current,,,account_template_101030702,
1.01.03.07.03,Scrap,asset,current_asset,debit,0,,,asset_current,,,account_template_101030703,
1.01.03.07.04,Other Stocks,asset,current_asset,debit,0,,,asset_current,,,account_template_101030704,
1.01.03.07.55,(-) Loss due to Adjustment to the Net Realizable Value - Other Stocks,asset,current_asset,debit,0,,,asset_current,,,account_template_101030755,
1.01.03.07.75,( - ) Subaccount - Adjustment to Present Value (AVP) - Stock Other,asset,current_asset,debit,0,,,asset_current,,,account_template_101030775,
1.01.03.07.90,Subaccount – Initial Adoption - Stock Other,asset,current_asset,debit,0,,,asset_current,,,account_template_101030790,
1.01.05.01.01,Rent Paid in Advance,asset,prepayment,debit,0,,,asset_prepayments,,,account_template_101050101,
1.01.05.01.02,Insurance Premiums Payable,asset,prepayment,debit,0,,,asset_prepayments,,,account_template_101050102,
1.01.05.01.03,Financial Charges to be Appropriated,asset,prepayment,debit,0,,,asset_prepayments,,,account_template_101050103,
1.01.05.01.09,Other Paid Costs and Expenditure Previously,asset,prepayment,debit,0,,,asset_prepayments,,,account_template_101050109,
1.01.10.01.01,Consumable Biological Asset - Animal Origin – For Fair Value,asset,current_asset,debit,0,,,asset_current,,,account_template_101100101,
1.01.10.01.02,Consumable Biological Asset - Plant Origin – For Fair Value,asset,current_asset,debit,0,,,asset_current,,,account_template_101100102,
1.01.10.01.70,Subaccount - Fair Value Adjustment (AVJ) – Consumable Biological Assets By Fair Value - Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101100170,
1.01.10.01.75,( - ) Subaccount - Adjustment to Present Value (AVP) - Biological Assets By Fair Value - Current,asset,current_asset,debit,0,,,asset_current,,,account_template_101100175,
1.01.10.01.90,Subaccount – Initial Adoption - Biological Assets,asset,current_asset,debit,0,,,asset_current,,,account_template_101100190,
1.01.10.02.01,Consumable Biological Asset - Animal Origin - For Cost,asset,current_asset,debit,0,,,asset_current,,,account_template_101100201,
1.01.10.02.02,Consumable Biological Asset - Plant Origin - For Cost,asset,current_asset,debit,0,,,asset_current,,,account_template_101100202,
1.01.10.02.55,( - ) Losses for Recuperable Value Reduction (Impairment) - Consumable Biological Assets - At Cost,asset,current_asset,debit,0,,,asset_current,,,account_template_101100255,
1.01.10.02.75,( - ) Subaccount - Adjustment to Present Value (AVP) - Consumable Biological Assets - At Cost,asset,current_asset,debit,0,,,asset_current,,,account_template_101100275,
1.01.11.01.01,Non-Current Assets Held For For sale,asset,current_asset,debit,0,,,asset_current,,,account_template_101110101,
1.01.11.01.55,(-) Recuperable Value Reduction Losses (Impairment) - Non-Current Assets Held for Sale,asset,current_asset,debit,0,,,asset_current,,,account_template_101110155,
1.01.11.01.70,Subaccount - Fair Value Adjustment – Non Current Asset Held for Sale,asset,current_asset,debit,0,,,asset_current,,,account_template_101110170,
1.01.11.01.75,( - ) Subaccount - Adjustment to Present Value (AVP) - Non-Current Asset Holding for Sale,asset,current_asset,debit,0,,,asset_current,,,account_template_101110175,
1.01.11.01.90,Subaccount - Initial Adoption - Non-Current Assets Held for Sale,asset,current_asset,debit,0,,,asset_current,,,account_template_101110190,
1.02.01.01.01,Customers - Long Term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010101,
1.02.01.01.02,Mutual Loans with Non-Related Parties - Asset- Long-term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010102,
1.02.01.01.03,Mutual Loans with Related Parties - Asset - Long Term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010103,
1.02.01.01.04,Advance for Future Capital Increase - Asset - Long Term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010104,
1.02.01.01.07,Equity Securities Valued at Cost,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010107,
1.02.01.01.09,Contingent consideration assets - Business Combination – Long Term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010109,
1.02.01.01.10,Other Securities - Abroad - Long Term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010110,
1.02.01.01.19,(-) Other Rectifying Accounts - Credits and Values - Long Term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010119,
1.02.01.01.20,Assigned Creditor Rights – Long Term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010120,
1.02.01.01.21,(-) Negative goodwill on transfer of securities – Long term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010121,
1.02.01.01.25,Creditor Rights Receivable – Long Term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010125,
1.02.01.01.26,Trade Bills Receivable – Operations with Non-related Parties - in the Country – Long-term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010126,
1.02.01.01.27,Trade Bills Receivable - Operations with Non-Related Parties - Abroad – Long Term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010127,
1.02.01.01.28,Trade Bills Receivable - Operations with Related Parties - in the Country – Long Term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010128,
1.02.01.01.29,Trade Bills Receivable - Operations with Related Parties - Abroad – Long Term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010129,
1.02.01.01.50,(-) Interest to be Appropriated Arising from Adjustment to Present Value (AVP) - Long-Term Credits,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010150,
1.02.01.01.52,(-) Estimated Losses in Debt Settlement Credits – Long Term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010152,
1.02.01.01.55,(-) Refundable Value Losses (Impairment) - Credits and Values - Long Term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010155,
1.02.01.01.70,Subaccount - Fair Value Adjustment - Credits – Long Term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010170,
1.02.01.01.90,Subaccount – Initial Adoption - Credits and Values – Long Term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010190,
1.02.01.02.01,Securities for Trading - In the Country - Long Term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010201,
1.02.01.02.02,Securities Available for Sale - In the Country - Long Term,asset,non_current_asset,debit,0,,,asset_non_current,,,account_template_102010202,
